,"(0, 8)","(1, 7)","(2, 6)","(3, 5)","(4, 4)","(5, 3)","(6, 2)","(7, 1)","(8, 0)"
GaussNB,0.5378352490421456,0.5402298850574713,0.5373563218390804,0.5344827586206896,0.5354406130268199,0.5354406130268199,0.5349616858237548,0.5335249042145593,0.5340038314176245
SVM,0.5953065134099617,0.5742337164750958,0.6111111111111112,0.5962643678160919,0.6135057471264368,0.6101532567049809,0.6053639846743295,0.5991379310344828,0.6130268199233716
KNeighbors,0.5354406130268199,0.5124521072796935,0.5593869731800766,0.5469348659003831,0.5589080459770115,0.5311302681992337,0.5253831417624522,0.5316091954022989,0.521551724137931
GaussianProcess,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034
DecisionTree,0.5009578544061303,0.5311302681992337,0.5670498084291188,0.5311302681992337,0.5435823754789272,0.5440613026819924,0.5421455938697318,0.5330459770114943,0.585727969348659
RandomForest,0.5450191570881227,0.5660919540229885,0.5881226053639846,0.5905172413793104,0.5780651340996169,0.5847701149425287,0.5584291187739464,0.5440613026819924,0.5924329501915708
MLP,0.4396551724137931,0.5943486590038314,0.4051724137931034,0.4051724137931034,0.5948275862068966,0.5440613026819924,0.5201149425287356,0.48563218390804597,0.4185823754789272
QuadraticDiscriminant,0.4492337164750958,0.5287356321839081,0.5478927203065134,0.5359195402298851,0.5694444444444444,0.5890804597701149,0.5900383141762452,0.592911877394636,0.5876436781609196
AdaBoost,0.5225095785440613,0.5124521072796935,0.5862068965517241,0.5646551724137931,0.578544061302682,0.5742337164750958,0.5258620689655172,0.5431034482758621,0.578544061302682
