,"(0, 8)","(1, 7)","(2, 6)","(3, 5)","(4, 4)","(5, 3)","(6, 2)","(7, 1)","(8, 0)"
GaussNB,0.4789272030651341,0.532088122605364,0.46551724137931033,0.44157088122605365,0.4468390804597701,0.4631226053639847,0.47270114942528735,0.4760536398467433,0.4703065134099617
SVM,0.5881226053639846,0.5569923371647509,0.5909961685823755,0.5895593869731801,0.5866858237547893,0.5876436781609196,0.5842911877394636,0.5895593869731801,0.5962643678160919
KNeighbors,0.5287356321839081,0.5119731800766284,0.5426245210727969,0.5387931034482759,0.5239463601532567,0.5272988505747126,0.5172413793103449,0.5244252873563219,0.49952107279693486
GaussianProcess,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034
DecisionTree,0.49137931034482757,0.5387931034482759,0.5387931034482759,0.5387931034482759,0.5675287356321839,0.5263409961685823,0.5603448275862069,0.5004789272030651,0.5407088122605364
RandomForest,0.5680076628352491,0.5617816091954023,0.5526819923371648,0.5842911877394636,0.5584291187739464,0.5708812260536399,0.5723180076628352,0.5809386973180076,0.5737547892720306
MLP,0.5948275862068966,0.5948275862068966,0.4051724137931034,0.4051724137931034,0.5948275862068966,0.4051724137931034,0.5948275862068966,0.4051724137931034,0.4051724137931034
QuadraticDiscriminant,0.5306513409961686,0.5296934865900383,0.4779693486590038,0.5201149425287356,0.5301724137931034,0.5407088122605364,0.5459770114942529,0.5502873563218391,0.5478927203065134
AdaBoost,0.5565134099616859,0.521551724137931,0.5761494252873564,0.5584291187739464,0.5862068965517241,0.5660919540229885,0.5732758620689655,0.5502873563218391,0.5344827586206896
