,"(0, 8)","(1, 7)","(2, 6)","(3, 5)","(4, 4)","(5, 3)","(6, 2)","(7, 1)","(8, 0)"
GaussNB,0.5431034482758621,0.5426245210727969,0.5426245210727969,0.5426245210727969,0.5431034482758621,0.5407088122605364,0.5407088122605364,0.5397509578544061,0.5426245210727969
SVM,0.592911877394636,0.5416666666666666,0.610632183908046,0.5948275862068966,0.6211685823754789,0.6111111111111112,0.5847701149425287,0.5900383141762452,0.6039272030651341
KNeighbors,0.524904214559387,0.5665708812260536,0.5550766283524904,0.5502873563218391,0.5675287356321839,0.5076628352490421,0.5076628352490421,0.5076628352490421,0.5708812260536399
GaussianProcess,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034
DecisionTree,0.4952107279693487,0.48946360153256707,0.5450191570881227,0.5067049808429118,0.5086206896551724,0.5656130268199234,0.51772030651341,0.5239463601532567,0.5435823754789272
RandomForest,0.5277777777777778,0.5292145593869731,0.5574712643678161,0.6053639846743295,0.6111111111111112,0.5105363984674329,0.5186781609195402,0.5675287356321839,0.5569923371647509
MLP,0.4051724137931034,0.5948275862068966,0.4051724137931034,0.4051724137931034,0.5948275862068966,0.4051724137931034,0.5948275862068966,0.4051724137931034,0.4051724137931034
QuadraticDiscriminant,0.46551724137931033,0.4904214559386973,0.514367816091954,0.5,0.4904214559386973,0.48946360153256707,0.5162835249042146,0.5138888888888888,0.521551724137931
AdaBoost,0.5019157088122606,0.5138888888888888,0.5704022988505747,0.4966475095785441,0.5684865900383141,0.553639846743295,0.5205938697318008,0.5684865900383141,0.5761494252873564
