,"(0, 8)","(1, 7)","(2, 6)","(3, 5)","(4, 4)","(5, 3)","(6, 2)","(7, 1)","(8, 0)"
GaussNB,0.4789272030651341,0.532088122605364,0.46551724137931033,0.44157088122605365,0.4468390804597701,0.4631226053639847,0.47270114942528735,0.4760536398467433,0.4703065134099617
SVM,0.5881226053639846,0.5569923371647509,0.5909961685823755,0.5895593869731801,0.5866858237547893,0.5876436781609196,0.5842911877394636,0.5895593869731801,0.5962643678160919
KNeighbors,0.5287356321839081,0.5119731800766284,0.5426245210727969,0.5387931034482759,0.5239463601532567,0.5272988505747126,0.5172413793103449,0.5244252873563219,0.49952107279693486
GaussianProcess,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034
DecisionTree,0.4899425287356322,0.5272988505747126,0.5445402298850575,0.532088122605364,0.5603448275862069,0.5287356321839081,0.5411877394636015,0.5095785440613027,0.5181992337164751
RandomForest,0.5862068965517241,0.5311302681992337,0.5876436781609196,0.5842911877394636,0.5727969348659003,0.5881226053639846,0.5804597701149425,0.5617816091954023,0.5522030651340997
MLP,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.4051724137931034,0.5948275862068966,0.4051724137931034,0.5948275862068966,0.5948275862068966,0.5948275862068966
QuadraticDiscriminant,0.5306513409961686,0.5296934865900383,0.4779693486590038,0.5201149425287356,0.5301724137931034,0.5407088122605364,0.5459770114942529,0.5502873563218391,0.5478927203065134
AdaBoost,0.560823754789272,0.521551724137931,0.5761494252873564,0.5584291187739464,0.5862068965517241,0.5670498084291188,0.5718390804597702,0.5483716475095786,0.5325670498084292
